amount,dataset,date,longitude,latitude
7,CBERS4_AWFI_L4_SR,2017-04-26,-57.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-04-27,-48.5,-4.5
13,CBERS4_AWFI_L4_SR,2017-04-28,-40.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-04-29,-56.0,-4.5
9,CBERS4_AWFI_L4_SR,2017-04-30,-47.5,-4.5
13,CBERS4_AWFI_L4_SR,2017-05-01,-39.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-05-02,-55.5,-4.5
9,CBERS4_AWFI_L4_SR,2017-05-03,-46.5,-4.5
13,CBERS4_AWFI_L4_SR,2017-05-04,-38.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-05-05,-54.5,-4.0
8,CBERS4_AWFI_L4_SR,2017-05-06,-45.5,-4.5
11,CBERS4_AWFI_L4_SR,2017-05-07,-38.0,-9.5
8,CBERS4_AWFI_L4_SR,2017-05-08,-52.0,1.0
9,CBERS4_AWFI_L4_SR,2017-05-09,-44.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-05-10,-36.0,-4.5
9,CBERS4_MUX_L4_SR,2017-05-10,-36.0,-5.5
10,CBERS4_AWFI_L4_SR,2017-05-12,-43.5,-4.5
11,CBERS4_AWFI_L4_SR,2017-05-13,-35.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-05-14,-50.0,1.0
